Chocolate Peanut Brunch Bars;11;Blend first 5 ingredients until it resembles corn meal. Add egg and vanilla. Mix well. Press firmly into ungreased jelly roll pan. Bake at 350 degrees for 25 minutes. Cool slightly. Melt chocolate over hot water. Stir in peanut butter and cereal. Spread on cookie dough. Let stand until chocolate sets. Cut into 35 bars.;medium;breakfast;35 m;4 eggs, vanilla, peanuts, chocolate, cereal
Chocolate Trio Squares*;12;"Cream butter, mis in four, and salt. Spread in greased and floured 9"" pan. Bake 15 minutes at 350 degrees. Beat eggs and sugar until smooth. Stir in all other ingredients and blend well. Spread over first layer. Bake 350 degrees for 15 minutes. Cool in pan. Melt chocolate. Blend in syrup and water, Spread over cookies. Sprinkle on nuts. Leave in pan overnight. Cut into 36 squares.";beginner;breakfast;25 m;butter, salt, eggs, sugar, chocolate, syrup, water, nuts
Christmas Logs;13;"Preheat oven to 350 degrees. Put walnuts and dates through coarse blade of grinder. Combine with 1 1/2 cup coconut, sugar, and eggs. Mix well. Shape by spoonfuls into 3"" logs, 3/4"" wide. Roll in rest of coconut, coating well. Bake 10-12 minutes until golden. Cool. Makes 30 logs.";beginner;breakfast;20 m;walnuts, 1 1/2 cup coconut, sugar, eggs
Crisp Oatmeal Fruit Strips;14;"Beat butter and sugar together until fluffy, beat in egg. Stir flour with soda, then stir into creamed mixture with raisins and rolled oats. Mix well. Divide dough into 15 equal portions. Place 3 or 4 portions each on ungreased 12"" by 15"" baking sheet. Pinch dough to shape 8"" ropes and place at least 2 inches apart. Flatten each rope into a 2"" wide strip. Bake in a 30 degree oven until golden brown, about 10 minutes. Let cool on pan about 2 minutes, then cut each strip diagonally into 1 inch wide bars. Let cookies cool on pan then transfer from pan with a wide spatula. Store in an airtight container at room temperature up to 2 weeks. Makes about 12 dozen.";advanced;breakfast;45 m;butter, sugar, flour, soda
Frosted Delights;15;Sift flour, salt and baking powder together. Cream shortening with sugar until fluffy. Add eggs, vanilla and sifted ingredients and mix well. Spread batter very thin on baking sheets. Fold brown sugar into egg whites, add nuts. Spread over cookie batter. Bake at 325 degrees for 30 minutes. Cut into squares. Makes 30.;beginner;breakfast;35 m;flour, salt, sugar, eggs, vanilla, nuts
Jello Pastel Cookies;16;"Mix shortening, sugar, gelatin, eggs, and vanilla. Blend in dry ingredients. Roll into 3/4"" balls. Place 3"" apart on a cookie sheet. Flatten each with the bottom of a glass dipped in sugar. Bake 6-8 minutes at 375 degrees. Makes 4 dozen.";beginner;breakfast;15 m;shortening, sugar, gelatin, eggs, vanilla
Minties;17;"Beat eggs until thick and foamy. Gradually add sugar and continue to beat. Soften mint jelly with a fork and add oil. Mix well. Add the flour, baking powder, and salt. Spread mixture in a 9""x13"" pan that is oiled. Bake at 350 degrees for 25 minutes. Frost with mint frosting: Cream 1/4 cup margarine. Add 1/2 cup mint jelly. Blend. Add 2 cups sifted powdered sugar. Mix Well. Cut into 32 bars.";advanced;breakfast;50 m;3 eggs,  sugar, oil, flour, salt, 1/4 cup butter, 1/2 cup mint jelly
Oatmeal Fudge Bars*;18;"Oatmeal Layer: Grease 9""x9"" baking pan. Beat shortening with sugar until fluffy. Beat in egg and vanilla. Sift flour with soda and salt into sugar mixture. Mix well. Stir in oats and nuts. Remove 1 cup for topping. Press the rest of the mixture evenly into the bottom of the pan. Fudge Layer: Preheat oven to 350 degrees. In small sauce pan combine chocolate chips butter, milk, and salt. Cook over low heat, stirring until chocolate and butter are melted. Remove from the heat. Stir in nuts and vanilla. Spread chocolate mixture over oatmeal layer. Sprinkle top with reserved oatmeal mixture. Bake 25 minutes or until topping is lightly browned.";advanced;breakfast;1 h;shortening, sugar, egg, vanilla, flour, soda, salt, nuts, chocolate chips butter, milk
Pineapple Graham Bars;19;"Preheat oven to 350 degrees. Lightly grease 8""x8""x2"" pan. Mix butter with sugar until light. Beat in egg. Stir in flour, graham cracker crumbs, pineapple, and walnuts. Bake 30-35 minutes or until browned and surface is firm to the touch. Let cool completely in plan. Cut into 20 bars.";medium;breakfast;45 m;butter, sugar, egg, flour, pineapple, walnuts
Prune Nut Bars;20;"Cook Prunes - drain and chop. Mix margarine, sugar and 1 cup of four. Press into 9"" square pan. Bake at 350 degrees for 25 minutes. Sift remaining 1/3 cup flour with baking powder and salt. Beat brown sugar into eggs, lemon and vanilla. Add flour, mix well. Add prunes, nuts, and coconut. Spread over baked bars. Bake at 350 degrees for 30-35 minutes. Cool. Cut into 24 bars. Roll in confectioner's sugar.";advanced;breakfast;1 h 10 m;prunes, butter, sugar, flour, eggs, lemon, vanilla, nuts, coconut
Pumpkin Oatmeal Cookies;21;Mix eggs, sugar, oil, spices, and pumpkin. Add oats, soda, salt nuts, and raisins. Mix well. Add flour, 1/2 at a time. Drop by teaspoons on ungreased cookie sheet. (These will not spread.) Bake 10 minutes at 325 degrees. Remove from pan. Store in tightly sealed container.;beginner;breakfast;30 m;eggs, sugar, oil, spices, pumpkin, oats, soda, salt, nuts, flour
Soft Sugar Cookies;22;Cream butter. Add sugar gradually while continuing to cream. Ad eggs one at a time, beating well after each. Add vanilla. Beat until light and fluffy. Add mixed dry ingredients, alternately with sour cream. Begin and end with dry ingredients. For 3 inch cookies drop by heaping teaspoons. With spatula flatten into circles about 2 inch wide. Sprinkle with sugar and cinnamon. Bake in hot oven - 400 degrees for 10-20 minutes. Makes about thirty - 3 inch cookies.;advanced;breakfast;1 h ;butter, sugar, 3 eggs, vanilla, oil, milk,  cinnamon
Walnut Squares;23;"Cream butter and sugar. Beat in egg yolk. Sift four and spice, add to creamed mixture. Spread dough in 15""x10""x1"" jelly roll pan. Press flat with hands. Beat egg white slightly, brush on dough. Sprinkle nuts on top and press into dough. Bake in 250 degree oven for 1 hour. While hot cut into 1 1/2"" squares. Cool. Makes about 70.";medium;breakfast;45 m;butter, sugar, egg, nuts
Apple Dessert for a Crowd;24;Combine flour, sugar, salt and shortening. Add egg/milk mixture to flour mixture using beater. Put 1/2 of mixture into a jelly roll pan. Reserve other 1/2 for the op. Sprinkle onto dough in pan, cornflakes, apples, sugar, and cinnamon. Cover with the other 1/2 of dough. Beat egg white until stiff, spread over crust. Bake at 400 degrees for about 40 minutes. Glaze with powdered sugar and hot water glaze while still warm. Would also be good in a smaller pan for a coffee cake strudel breakfast roll.;advanced;breakfast;50 m;flour, sugar, salt, egg, milk, cornflakes, apples, sugar, cinnamon
Fresh Peach Dessert;25;Soak gelatin in cold water. Combine margarine, sugar, and egg yolks. Cook until thick. Add gelatin - pour hot mixture over marshmallows. Blend. Fold in stiff-beaten egg whites and peaches. Alternate in layers with cookie crumbs in dish. Chill to serve.;advanced;dessert;1 h;gelatin, water, margarine, sugar, egg, marshmallows, peaches
South Carolina Cobbler;26;Toss peaches with 1 cup sugar and almond flavoring. Set aside. Melt butter in 2 quart baking dish. In a bowl, combine flour, baking powder, salt and 1/2 cup sugar. Stir in milk. Mix well. Pour evenly over butter. Do not stur. Spoon peaches on top. Bake at 350 degrees for 50-55 minutes, until golden brown. Serve with ice cream.;beginner;dessert;55 m;1 cup sugar, butter, flour, salt, 1/2 cup sugar, milk, peaches
Creamy Apple Pie;27;Place apples in the pie shell. Mix together sugar, flour, and salt. Sprinkle over apples. in a sauce pan bring cream to boiling point. Pour over apples. Sprinkle generously with cinnamon. Bake at 375 degrees for 45 minutes, until firm.;medium;dessert;1h ;apples, sugar, flour, salt
Dutch Apple Pie;28;Combine apples, 1/2 cup sugar, and cinnamon. Put into the unbaked pie shell. Top with 1/2 cup sugar, flour, butter, and cinnamon. Bake 45-50 minutes at 350 degrees.;beginner;dessert;50 m;apples, 1 cup sugar, cinnamon, flour, butter
Lemon Cloud Pie;29;Combine in sauce pan 3/4 cup sugar, cornstarch, water, lemon rind, and juice, and slightly beaten egg yolk. Cook over medium heat stirring constantly until thick. Remove from heat. Add softened cheese, blend well. Cool. Beat egg whites until stiff. Add 1/4 sugar. Fold into lemon mixture. Spoon into crust. Chill 2 hours. Serve with whipped cream.;medium;dessert;2 h;3/4 cup sugar, cornstarch, water, lemon, juice, egg
Peach Almond Pie;30;Sprinkle peaches with lemon and sugar. Let stand 1 hour. Drain to get 1 cup syrup. Add cornstarch to syrup and blend. Cook over low heat until thick. Remove from heat. Add butter, salt, and almond extract. Cool. Carefully stir in peaches. Put in shell. Chill. Serve with whipped cream, topped with slivered almonds and marachino cherries.;advanced;dessert;55 m;peaches, lemon, sugar, syrup, butter, salt
Peanut Butter Ice Cream Pie;31;"Mix graham cracker crumbs, sugar, and melted margarine. Press into 9"" pie pan. Chill. To make filling whip 1/2 cup whipping cream. Place ice cream in a bowl and stir to soften. Fold in peanut butter then fold in whipped cream. Spoon mixture into crust. Freeze about 5 hours. Remove from freezer about 15 minutes before serving.";medium;dessert;30 m;cracker crumbs, sugar, butter , 1/2 cup whipping cream, peanut 
Pie Crust;32;"Mix flour, salt, and shortening. Stir in water enough to bind mixture together to form soft dough. Makes two 9"" pie crusts or 1 double crust. For double crust pie bake at 350 degrees for 1 hour. For pie shell bake at 400 degrees for 10 minutes.";advanced;dessert;1h 10 m;flour, salt, shortening
Sour Cream Raisin Pie;33;"Boil raisins in water until plump. Add flour and sugar. Cook to thicken slightly then add egg yolks, sour cream, vanilla and nutmeg. Pour into 9"" bottom crust. Add top crust. Sprinkle with sugar. Bake 50 minutes at 350 degrees.";medium;dessert;50 m;raisins, flour, sugar, egg, vanilla, nutmeg
Walnut-Raisin pie;34;Mix sugar and butter. Add eggs one at a time, beating after each is added. Add raisins nuts, and vanilla. Pour into unbaked pie shell. Bake at 400 degrees for 10 minutes. Reduce heat to 375 degrees for 30 minutes.;beginner;dessert;1h 10 m;sugar, butter, eggs, nuts, vanilla
Spanish Cream Pudding;35;Separate eggs. Put whites in large bowl. Mix sugar, gelatin and salt in double boiler, add milk. Place over medium heat. Stir well until gelatin dissolves, 3-6 minutes. Beat egg yolks with fork, gradually add milk. Cook in double boiler, but do not let water boil. Cook 10-15 minutes. Add flavoring. Drip at side of egg whites. Fold in gradually.;medium;dessert;40 m;eggs, sugar, gelatin, salt, milk 
Broccoli Salad with Pineapple;36;Cut broccoli flowers. Chop the top 2 inches of the stems into small pieces. Mix together broccoli, crisp bacon, drained pineapple, onion, and sunflower seeds. Blend mayonnaise, sugar, and vinegar to make dressing. Pour over top of broccoli mixture. Toss and serve. Note: This salad is also great with sliced raw carrots and cauliflower.;advanced;side;30 m;broccoli, bacon, pineapple, onion, sunflower seeds, mayonnaise, sugar, vinegar 
Carrot Carousel;37;"Sprinkle gelatine over 1/2 cup of cold orange juice in blender container that will hold 5 cups. Add boiling orange juice, cover and process at low speed until gelatin dissolves. Add remaining 1 cup cold orange juice, salt, and salad dressing; process until well blended. Add carrot pieces, cover and turn to high speed, on and off several times until carrots are finely grated. Stir in pineapple and syrup; pour into 6 cup mold. Chill until firm.";beginner;side;15 m;gelatin, 1/2 cup orange juice, salt, salad 
Cranberry Mold;38;jello, water, cranberry, nuts;advanced;side;30 m;jello, cranberry sauce, nuts
Five Bean Salad;39;Drain beans and stir together. Mix ingredients for dressing. Combine dressing and beans.;medium;side;25 m;beans
Green Bean Salad;40;Mix oil, vinegar, onion, and lemon. Pour over beans. Chill 3 hour or longer. Spoon beans onto lettuce with slotted spoon. Top with crumbled blue cheese and coarsely chopped walnuts;medium;side;25 m;oil, vinegar, onion, lemon, beans, blue cheese, walnuts
Heavenly Cheese Salad;41;Bring juice to a boil, pour over jello. Cool. Mix pineapple, nuts, and cheese. Add to jello. Fold in whipped cream. Pour into mold. Chill.;advanced;side;30 m;juice, jello, pineapple, nuts, cheese
Lima Bean Salad;42;Thoroughly mix vinegar, vegetable oil, and salt. Cook beans until tender, drain and rinse under cold water. Add other ingredients and toss. Chill in refrigerator for 1-2 hours.;advanced;side;30 m;vinegar, vegetable oil, salt, beans
Spinach Salad with Avocado;43;Clean spinach. Tear for salad. Cut avocado in small pieces. Sprinkle with lemon. Slice onion as thin as possible. Combine spinach, avocado, onion, and oranges. Mix remaining ingredients to make dressing. Pour dressing over salad. Sprinkle on bacon bits.;beginner;side;15 m;spinach, avocado, lemon, onion, oranges, bacon
Broccoli Cheese Soup;44;Place potato, broccoli (reserve 2 cups), carrots, garlic, onion, salt, and water in large saucepan. Bring to boil, then simmer until all vegetables are very tender. Puree in blender or food processor, and transfer to kettle or dutch oven. Steam reserved broccoli pieces until just tender. Add to puree along with all remaining ingredients. Heat gently. Serve topped with additional grated cheddar cheese.;advanced;main course;1h;potato, broccoli, carrots, garlic, onion, salt, cheddar cheese.
Chicken Noodle Soup;45;Boil chicken, remove from bones and chop. Set aside. Cook potato, carrots, celery, and onion in water to cover. When tender add the chicken, bouillon cubes, poultry seasoning, and salt. Add a large handful of narrow egg noodles. Add more liquid if necessary and cook until noodles are tender.;beginner;main course;35 m;chicken, potato, carrots, celery, onion, salt, noodles
Cleo's Clam Chowder;46;Boil potatoes. Save water. When potatoes are tender add bacon, onion, and celery. Add half and half, milk and seasonings. Thicken with a cup of flour mixed with water. Add to boiling soup. Stir in clams, but not too soon or they will get tough.;medium;main course;40 m;potatoes, bacon, onion, celery, milk
Creamy Zucchini Mushroom Soup;47;"Combine zucchini, onion, garlic and butter in 2 qt. microwave-safe casserole. Cover and microwave on high setting 5 to 7 minutes, stirring every 3 minutes, until vegetables are tender. Place zucchini mixture in blender container; blend until smooth. Return to casserole dish, add all remaining ingredients except sour cream, pepper and pine nuts. Cover and microwave 5 to 6 minutes, or until heated through. Stir in sour cream and season to taste with pepper. Ladle into soup bowls and garnish with sprinkle of pine nuts. Serve immediately.";advanced;main course;1h;zucchini, onion, garlic, butter, pepper, nuts
Tortilla Soup;48;Cut 3 thin slices from the lime, set aside. Squeeze 1 tsp juice from remaining lime, set aside. In 2-qt. saucepan over medium heat, in 1 tbsp hot oil, cook onion, cumin, oregano, and garlic until onion is tender. Add broth, water, tomato, chiles, and reserved lime juice. Heat to boiling. Reduce heat to low and cook for 10 minutes. Meanwhile, cut tortillas into thin strips. In a 10-inch skillet heat 1/2 inch oil to 375 degree. Fry tortilla strips, a few at a time until crisp. Remove to paper towel to drain. Place several tortilla strips in 3 bowls. Ladle soup into bowls, sprinkle with cheese. Top with reserved lime slices and lettuce. Serve immediately.;advanced;main course;40 m;lime, 1 tbsp hot oil, cook onion, cumin, oregano, garlic, tomato, chiles, 
Shrimp Saute;49;In a skillet, melt butter over medium heat. Add shrimp, mushrooms, green pepper and garlic. Saute until shrimp turn pink, about 3-5 minutes. Meanwhile, cook pasta according to package directions, drain and place on a large serving platter. Top with shrimp mixture. Sprinkle with cheese, salt, pepper and parsley. Toss well, garnish with lemon. Serve immediately.;medium;main course;40 m;shrimp, mushrooms, green pepper, garlic, pasta, cheese, salt, parsley, lemon
Chicken and Shrimp Cantonese;50;Cut chicken into 1-inch cubes. Heat all over medium-high heat in wok or large skillet. Add chicekn and garlic, saute 1 1/2 minutes, stirring. Add shrimp, green onions, pepper, celery, and zucchini. Cook and stir until shrimp turns pink, about 2 minutes, then add chicken broth. Mix cornstarch, sherry, soy sauce, and sugar in small bowl. Add to chicken-shrimp mixture and cook, stirring constantly, until it boils. Continue to boil for 1 minute. Remove from heat and serve immediately over cooked rice or Chinese noodles. Makes 4 servings.;advanced;second course;1h;chicken, garlic, green onions, pepper, celery, zucchini, cornstarch, sherry, soy sauce, sugar
Chicken With Pineapple;51;Marinate chicken in mixture of sherry, soy sauce, and cornstarch. Drain, but;beginner;second course;35 m;chicken, sherry, soy sauce, and cornstarch
Golden Nugget Beef;52;Peel oranges, remove outer membrance. Cut into 4 slices per orange, cut slices in half. Place in bowl, mix sugar and soy sauce. Pour over oranges. Let stand 15 minutes. Stir occasionally. Set aside. Combine cornstarch, ginger and pepper. Blend in boullion and water. Stir until smooth. Set aside. Cut flank diagonally into very thin slices. Heat 1 tbsp of oil in large skillet on high heat. Cook half of the meat at a time, just until it looses red color. Use second tbsp of oil with second half of meat. Remove meat from skillet, saute garlic and onion and celery just until transparent, return meat, stir. Add cornstarch mixture. Cook for 30 seconds, stirring constantly. Add oranges and marinade. Cook 10 seconds, serve over mounds of steamed rice.;medium;second course;40 m;oranges, sugar, soy sauce, cornstarch, ginger, pepper, 1 tbsp of oil, garlic, onion
Sole Thermidor;53;Roll fish, cook in milk for 30 minutes at 375 degrees. Drain milk, make sauce with remaining ingredients, sprinkle with paprika. Pour over fish. Broil quickly. Serves 4-5. Line bottom of baking dish with half of the bacon. Cover with onion. Sprinkle on bay leaf. Place trout on top. Blend flour and margerine, spread on fish. Sprinkle with crumbs. Top with bacon. Bake uncovered at 375 degrees for 35-45 minutes until golden brown and flakey.;advanced;second course;1h;sole, milk, paprika, bacon, onion, flour, butter  
Sauteed Scallops;54;Roll scallops in crumbs and paprika. Saute in butter until golden on all sides. Remove. Add wine or lemon to butter. Add onion to make sauce. Serve with rice.;beginner;second course;35 m;scallops, crumbs, paprika, butter lemon, rice  
Sole Almondie;55;Cut fillets into 4 serving pieces and pat dry. Mix flour, salt and pepper. Dp fish into milk and then coat with 4 mixture. Heat oil and margarine in large skillet over medium heat until hot. Cook fillets, 6-8 minutes until golden brown, turn once during cooking. Remove fish, keep warm. Drain oil from skillet. Add lemon juice, wine and almonds. Boil for 30 seconds and pour over fish.;advanced;second course;1h;fillets, flour, salt and pepper, milk, oil, margarine, lemon juice, wine
Veal Scallopini;56;Cut meat into 2 inch pieces and coat in flour. Brown in oil. Add mushrooms, salt, pepper, and wine. Pour over meat in a casserole. Cook in covered casserole for 1 hour at 375 degrees or a heavy covered skillet at low heat for 45 minutes.;beginner;second course;35 m;Cut meat into 2 inch pieces and coat in flour. Brown in oil. Add mushrooms, salt, pepper, and wine. Pour over meat in a casserole. Cook in covered casserole for 1 hour at 375 degrees or a heavy covered skillet at low heat for 45 minutes.
Pineapple Spareribs;57;Cook ribs at 375 degrees until brown. Combine sugar, vinegar, water, and cornstarch in saucepan. Bring to a boil. Pour over browned ribs. Cook for 1 hour or until ribs are 10der. Add pineapple chunks and green pepper slices. Cover and cook for an additional 20 to 30 minutes.;beginner;second course;35 m;Cook ribs at 375 degrees until brown. Combine sugar, vinegar, water, and cornstarch in saucepan. Bring to a boil. Pour over browned ribs. Cook for 1 hour or until ribs are 10der. Add pineapple chunks and green pepper slices. Cover and cook for an additional 20 to 30 minutes.
Pork Fu Man Chow;58;Saute onion and celery in oil. Add pork, bean sprouts and all other ingredients except peas and noodles. Simmer for 30 minutes. Add peas and simmer for 30 more minutes. Serve over noodles.;medium;second course;40 m;Saute onion and celery in oil. Add pork, bean sprouts and all other ingredients except peas and noodles. Simmer for 30 minutes. Add peas and simmer for 30 more minutes. Serve over noodles.
Shrimp Pineapple Fried Rice;59;Fry cooled rice in oil in a skillet. Add shrimp, onions and pineapple. Add soy sauce to taste.;advanced;second course;1h;Fry cooled rice in oil in a skillet. Add shrimp, onions and pineapple. Add soy sauce to taste.
Albert's Chicken;60;Place chicken in casserole. Heat together remaining ingredients to make sauce. Pour sauce over chicken. Cook in electric skillet or 350 degree oven for about 1 hour.;medium;second course;40 m;Place chicken in casserole. Heat together remaining ingredients to make sauce. Pour sauce over chicken. Cook in electric skillet or 350 degree oven for about 1 hour.
Batter Fried Chicken;61;Make better. Dip chicken, drain 5 to 10 minutes on rack. Fill dutch oven 1/3 full of oil, heat to 375 degrees. Cook chicken about 12 minutes. Drain on paper towels.;beginner;second course;35 m;Make better. Dip chicken, drain 5 to 10 minutes on rack. Fill dutch oven 1/3 full of oil, heat to 375 degrees. Cook chicken about 12 minutes. Drain on paper towels.
Catalina Chicken Stir Fry;62;Heat dressing, soy sauce and garlic powder in large skillet. Stir in chicken and completely cook, about 8 minutes. Add vegetables and cook, stirring until heated. Serve over cooked rice.;medium;second course;40 m;Heat dressing, soy sauce and garlic powder in large skillet. Stir in chicken and completely cook, about 8 minutes. Add vegetables and cook, stirring until heated. Serve over cooked rice.
Chicken Lo Mein;63;Marinate chicken in mixture of soy sauce, sherry, and cornstarch. Cook chicken in oil in a wok and remove when d1. Cook green onions, mushrooms, pea pods, and pepper. Add the bouillon and stir in chicken. Serve over linguini;medium;second course;40 m;Marinate chicken in mixture of soy sauce, sherry, and cornstarch. Cook chicken in oil in a wok and remove when d1. Cook green onions, mushrooms, pea pods, and pepper. Add the bouillon and stir in chicken. Serve over linguini
Chicken Paprika;64;Mix first 8 ingredients in a bag and shake the chicken to coat. Brown the chicken in hot oil. Place in large baking dish. Saute the garlic in oil for 1 minute. Blend in remaining ingredients. Stir and heat. Pour over chicken. Bake uncovered for 1 hour at 325 degrees.;advanced;second course;1h;Mix first 8 ingredients in a bag and shake the chicken to coat. Brown the chicken in hot oil. Place in large baking dish. Saute the garlic in oil for 1 minute. Blend in remaining ingredients. Stir and heat. Pour over chicken. Bake uncovered for 1 hour at 325 degrees.
Chicken with Artichoke;65;Dip chicken in flour, brown in oil. Place in baking dish. Put mushrooms and artichokes over chicken. Make sauce in skillet drippings with wine and onion. Pour over chicken. Cover with foil. Bake for 45 minutes at 350 degrees. Serve with rice.;medium;second course;40 m;Dip chicken in flour, brown in oil. Place in baking dish. Put mushrooms and artichokes over chicken. Make sauce in skillet drippings with wine and onion. Pour over chicken. Cover with foil. Bake for 45 minutes at 350 degrees. Serve with rice.
Coq au Vin;66;Cook pork, stirring until crisp and well browned. Lift out, set aside. Brown chicken parts, set aside. Stir in wine, broth and mustard. Add meat and chicken. Cover and simmer 35 to 40 minutes. Add cornstarch.;advanced;second course;1h;Cook pork, stirring until crisp and well browned. Lift out, set aside. Brown chicken parts, set aside. Stir in wine, broth and mustard. Add meat and chicken. Cover and simmer 35 to 40 minutes. Add cornstarch.
Creamy Chicken Broccoli with Rice;67;Heat salad dressing in a large skillet. Add chicken and completely cook for about 8 minutes. Stir in broccoli and cook until heated. Add Velveeta and stir until thoroughly melted. Serve over rice.;beginner;second course;35 m;Heat salad dressing in a large skillet. Add chicken and completely cook for about 8 minutes. Stir in broccoli and cook until heated. Add Velveeta and stir until thoroughly melted. Serve over rice.
Oven Fried Chicken;68;Mix soup, milk, onion, and parley. Dip chicken in this, then into crumbs. Bake at 400 degrees for 1 hour. Drizzle butter over chicken.;advanced;second course;1h;Mix soup, milk, onion, and parley. Dip chicken in this, then into crumbs. Bake at 400 degrees for 1 hour. Drizzle butter over chicken.
Saute'd Chicken Breats;69;Brown chicken with paprika. Cook 15 minutes. Remove to warm platter. Cook mushrooms in wine. Add bouillon, 4, and seasonings. Put rice on platter with chicken. Pour mushroom sauce over all.;advanced;second course;1h;Brown chicken with paprika. Cook 15 minutes. Remove to warm platter. Cook mushrooms in wine. Add bouillon, 4, and seasonings. Put rice on platter with chicken. Pour mushroom sauce over all.
Saute'd Chicken Livers;70;Rinse livers and drain. Shake in flour. Brown in butter a few at a time on medium high heat. Drain excess butter. Put livers in a large skillet. Add all other ingredients. Simmer about 30 minutes with the lid on. Turn of 10. Uncover and cook about 15 minutes until slightly dry and sauce is thick.;beginner;second course;35 m;Rinse livers and drain. Shake in flour. Brown in butter a few at a time on medium high heat. Drain excess butter. Put livers in a large skillet. Add all other ingredients. Simmer about 30 minutes with the lid on. Turn of 10. Uncover and cook about 15 minutes until slightly dry and sauce is thick.
